ID;Fecha historica;Magnitud historica;Hora (UTC);Intervalos;Escala de Richter;Profundidad (km);Latitud;Longitud;Efecto;Baja intensidad;Pais;Estado;Zona;Resultado;;;;;;
67;15/7/2021;4.3;08:56;6200 por año;6t;7.0;32.51;-115.08;Ligero;No;Estados Unidos;California;Ejido Jiquilpan;No;;;;;;
68;14/7/2021;3.8;05:01;49000 por año;455kg;16.6;36.29;-120.59;Menor;Si;Estados Unidos;California;San Benito;No;;;;;;
69;13/7/2021;3.6;09:06;49000 por año;455kg;2.4;34.22;-118.89;Menor;Si;Estados Unidos;California;Ventura;No;;;;;;
70;12/7/2021;4.5;23:15;6200 por año;6t;32.8;40.27;-124.38;Ligero;No;Estados Unidos;California;Sacramento;No;;;;;;
71;11/7/2021;3.2;23:12;49000 por año;181kg;6.2;40.26;-124.36;Menor;Si;Estados Unidos;California;Sacramento;Si;;;;;;
72;10/7/2021;3.6;01:06;49000 por año;455kg;8.6;37.72;-123.03;Menor;SI;Estados Unidos;California;San Francisco;No;;;;;;
73;9/7/2021;4.7;10:36;6200 por año;6t;10.9;33.83;-118.26;Ligero;No;Estados Unidos;California;Los Angeles;No;;;;;;
74;8/7/2021;3;01:02;49000 por año;181kg;10.2;33.82;-118.26;Menor;Si;Estados Unidos;California;Los Angeles;Si;;;;;;
75;7/7/2021;3.5;02:07;49000 por año;455kg;6.8;33.63;-116.71;Menor;Si;Estados Unidos;California;Riverside;No;;;;;;
76;6/7/2021;3;15:36;49000 por año;181 kg;8.5;36.79033;-121.91933;Menor;SI;Estados Unidos;California;Moss Landing;No;;;;;;
77;5/7/2021;3.6;23:14;49000 por año;181kg;13.4;33.63;-116.71;Menor;Si;Estados Unidos;California;Riverside;No;;;;;;
78;4/7/2021;3.9;20:15;49000 por año;455kg;13.2;33.63;-116.71;Menor;Si;Estados Unidos;California;Riverside;No;;;;;;
79;3/7/2021;3.2;01:49;49000 por año;181kg;7.1;37.72;-121.99;Menor;Si;Estados Unidos;California;Alameda;No;;;;;;
80;2/7/2021;4.7;21:26;6200 por año;6t;6.8;38.54;-119.49;Ligero;No;Estados Unidos;California;Mono;No;;;;;;
81;1/7/2021;4.2;06:38;6200 por año;6t;10.2;33.82;-118.26;Ligero;No;Estados Unidos;California;Los Angeles;No;;;;;;
82;30/6/2021;3;02:32;49000 por año;181kg;11.9;33.83;-118.26;Menor;Si;Estados Unidos;California;Los Angeles;Si;;;;;;
83;29/6/2021;4.3;04:28;6200 por año;6t;7.0;32.51;-115.08;Ligero;No;Estados Unidos;California;Ejido Jiquilpan;No;;;;;;
84;28/6/2021;3.8;19:37;49000 por año;455kg;16.6;36.29;-120.59;Menor;Si;Estados Unidos;California;San Benito;No;;;;;;
85;27/6/2021;3.6;16:31;49000 por año;455kg;2.4;34.22;-118.89;Menor;Si;Estados Unidos;California;Ventura;No;;;;;;
86;26/6/2021;4.5;07:49;6200 por año;6t;32.8;40.27;-124.38;Ligero;No;Estados Unidos;California;Sacramento;No;;;;;;
87;25/6/2021;3.2;10:51;49000 por año;181kg;6.2;40.26;-124.36;Menor;Si;Estados Unidos;California;Sacramento;Si;;;;;;
88;24/6/2021;3.6;13:00;49000 por año;455kg;8.6;37.72;-123.03;Menor;SI;Estados Unidos;California;San Francisco;No;;;;;;
89;23/6/2021;4.7;12:58;6200 por año;6t;10.9;33.83;-118.26;Ligero;No;Estados Unidos;California;Los Angeles;No;;;;;;
90;22/6/2021;3;17:12;49000 por año;181kg;10.2;33.82;-118.26;Menor;Si;Estados Unidos;California;Los Angeles;Si;;;;;;
91;21/6/2021;3.5;20:54;49000 por año;455kg;6.8;33.63;-116.71;Menor;Si;Estados Unidos;California;Riverside;No;;;;;;
92;20/6/2021;3;00:02;49000 por año;181kg;11.2;37.72;-121.99;Menor;Si;Estados Unidos;California;Alameda;No;;;;;;
93;19/6/2021;4;18:49;6200 por año;6t;6.2;33.83;-118.26;Ligero;No;Estados Unidos;California;Los Angeles;No;;;;;;
94;18/6/2021;4.3;00:03;6200 por año;6t;14.2;32.51;-115.08;Ligero;No;Estados Unidos;California;Ejido Jiquilpan;No;;;;;;
95;17/6/2021;3.7;21:59;49000 por año;181kg;9.2;38.56;-121.46;Menor;Si;Estados Unidos;California;Sacramento;Si;;;;;;
96;16/6/2021;3.6;14:39;49000 por año;455kg;7.23;37.72;-123.03;Menor;SI;Estados Unidos;California;San Francisco;No;;;;;;
97;15/6/2021;3.2;20:17;49000 por año;455kg;9.75;37.70;-123.03;Menor;SI;Estados Unidos;California;San Francisco;No;;;;;;
98;14/6/2021;5.2;02:54;800 por año;199t;30.1;37.71;-123.01;Moderado;No;Estados Unidos;California;San Francisco;No;;;;;;
99;13/6/2021;3.0;08:07;49000 por año;455kg;13.1;37.71;-123.01;Menor;SI;Estados Unidos;California;San Francisco;Si;;;;;;
100;12/6/2021;4.1;16:15;6200 por año;6t;10.14;37.72;-123.03;Ligero;No;Estados Unidos;California;San Francisco;No;;;;;;
101;11/6/2021;3.1;07:57;49000 por año;455kg;6.1;37.70;-123.04;Menor;SI;Estados Unidos;California;San Francisco;Si;;;;;;
102;10/6/2021;3.6;04:55;49000 por año;455kg;10.2;37.72;-123.03;Menor;SI;Estados Unidos;California;San Francisco;No;;;;;;
103;9/6/2021;4.3;20:09;6200 por año;6t;6.3;32.51;-115.08;Ligero;No;Estados Unidos;California;Ejido Jiquilpan;No;;;;;;
104;8/6/2021;3.8;19:13;49000 por año;455kg;3.2;36.29;-120.59;Menor;Si;Estados Unidos;California;San Benito;No;;;;;;
105;7/6/2021;3.6;21:01;49000 por año;455kg;5.1;34.22;-118.89;Menor;Si;Estados Unidos;California;Ventura;No;;;;;;
106;6/6/2021;4.5;18:27;6200 por año;6t;15.2;40.27;-124.38;Ligero;No;Estados Unidos;California;Sacramento;No;;;;;;
107;5/6/2021;3.4;14:28;49000 por año;455kg;13.2;33.63;-116.71;Menor;Si;Estados Unidos;California;Riverside;No;;;;;;
108;4/6/2021;3;09:32;49000 por año;181kg;7.1;37.72;-121.99;Menor;Si;Estados Unidos;California;Alameda;No;;;;;;
109;3/6/2021;4;12:20;6200 por año;6t;6.8;38.54;-119.49;Ligero;No;Estados Unidos;California;Mono;No;;;;;;
110;2/6/2021;4.3;08:40;6200 por año;6t;10.2;33.82;-118.26;Ligero;No;Estados Unidos;California;Los Angeles;No;;;;;;
111;1/6/2021;4,5;02:59;6200 por año;6t;16.2;37.71;-122;Ligero;No;Estados Unidos;California;Alameda;No;;;;;;
112;31/5/2021;3;14:55;49000 por año;181kg;7.1;37.72;-121.99;Menor;Si;Estados Unidos;California;Alameda;Si;;;;;;
113;30/5/2021;4.7;03:44;6200 por año;6t;10.9;33.83;-118.26;Ligero;No;Estados Unidos;California;Los Angeles;No;;;;;;
114;29/5/2021;3;18:28;49000 por año;181kg;5.2;33.82;-118.26;Menor;Si;Estados Unidos;California;Los Angeles;Si;;;;;;
115;28/5/2021;4.2;08:00;800 por año;199t;23.1;37.71;-123.01;Moderado;No;Estados Unidos;California;San Francisco;No;;;;;;
116;27/5/2021;3.0;05:20;49000 por año;455kg;10.6;37.71;-123.01;Menor;SI;Estados Unidos;California;San Francisco;Si;;;;;;
117;26/5/2021;3;19:39;49000 por año;181kg;7.1;37.72;-121.99;Menor;Si;Estados Unidos;California;Alameda;No;;;;;;
118;25/5/2021;4;16:27;6200 por año;6t;6.8;38.54;-119.49;Ligero;No;Estados Unidos;California;Mono;No;;;;;;
119;24/5/2021;4.3;05:59;6200 por año;6t;10.2;33.82;-118.26;Ligero;No;Estados Unidos;California;Los Angeles;No;;;;;;
120;23/5/2021;3;11:48;49000 por año;181kg;11.9;33.83;-118.26;Menor;Si;Estados Unidos;California;Los Angeles;Si;;;;;;
121;22/5/2021;4.3;06:42;6200 por año;6t;7.0;32.51;-115.08;Ligero;No;Estados Unidos;California;Ejido Jiquilpan;No;;;;;;
122;21/5/2021;3.8;00:38;49000 por año;455kg;16.6;36.29;-120.59;Menor;Si;Estados Unidos;California;San Benito;No;;;;;;
123;20/5/2021;3.6;02:24;49000 por año;455kg;2.4;34.22;-118.89;Menor;Si;Estados Unidos;California;Ventura;No;;;;;;
124;19/5/2021;4.5;01:13;6200 por año;6t;32.8;40.27;-124.38;Ligero;No;Estados Unidos;California;Sacramento;No;;;;;;
125;18/5/2021;3.2;13:45;49000 por año;181kg;6.2;40.26;-124.36;Menor;Si;Estados Unidos;California;Sacramento;Si;;;;;;
126;17/5/2021;3.6;09:30;49000 por año;455kg;8.6;37.72;-123.03;Menor;SI;Estados Unidos;California;San Francisco;No;;;;;;
127;16/5/2021;3.6;23:59;49000 por año;455kg;2.4;34.22;-118.89;Menor;Si;Estados Unidos;California;Ventura;No;;;;;;
128;15/5/2021;4.5;00:13;6200 por año;6t;32.8;40.27;-124.38;Ligero;No;Estados Unidos;California;Sacramento;No;;;;;;
129;14/5/2021;3.2;07:19;49000 por año;181kg;6.2;40.26;-124.36;Menor;Si;Estados Unidos;California;Sacramento;Si;;;;;;
130;13/5/2021;3.6;01:01;49000 por año;455kg;8.6;37.72;-123.03;Menor;SI;Estados Unidos;California;San Francisco;No;;;;;;
131;12/5/2021;4.2;07:27;6200 por año;6t;10.9;33.83;-118.26;Ligero;No;Estados Unidos;California;Los Angeles;No;;;;;;
132;11/5/2021;3;15:29;49000 por año;181kg;10.2;33.82;-118.26;Menor;Si;Estados Unidos;California;Los Angeles;Si;;;;;;
133;10/5/2021;3.2;17:15;49000 por año;455kg;6.8;33.63;-116.71;Menor;Si;Estados Unidos;California;Riverside;No;;;;;;
134;9/5/2021;3;16:23;49000 por año;181kg;11.2;37.72;-121.99;Menor;Si;Estados Unidos;California;Alameda;No;;;;;;
135;8/5/2021;4.2;04:46;6200 por año;6t;6.2;33.83;-118.26;Ligero;No;Estados Unidos;California;Los Angeles;No;;;;;;
136;7/5/2021;4.5;17:09;6200 por año;6t;10.14;37.72;-123.03;Ligero;No;Estados Unidos;California;San Francisco;No;;;;;;
137;6/5/2021;3.4;23:43;49000 por año;455kg;6.1;37.70;-123.04;Menor;SI;Estados Unidos;California;San Francisco;No;;;;;;
138;5/5/2021;3,0;06:42;49000 por año;455kg;10.2;37.72;-123.03;Menor;SI;Estados Unidos;California;San Francisco;No;;;;;;
139;4/5/2021;4;18:52;6200 por año;6t;6.8;38.54;-119.49;Ligero;No;Estados Unidos;California;Mono;No;;;;;;
140;3/5/2021;4.6;07:44;6200 por año;6t;10.2;33.82;-118.26;Ligero;No;Estados Unidos;California;Los Angeles;No;;;;;;
141;2/5/2021;3;10:30;49000 por año;181kg;11.9;33.83;-118.26;Menor;Si;Estados Unidos;California;Los Angeles;Si;;;;;;
142;1/5/2021;4.3;19:05;6200 por año;6t;7.0;32.51;-115.08;Ligero;No;Estados Unidos;California;Ejido Jiquilpan;No;;;;;;
143;30/4/2021;3.8;01:49;49000 por año;455kg;16.6;36.29;-120.59;Menor;Si;Estados Unidos;California;San Benito;No;;;;;;
144;29/4/2021;3.6;13:20;49000 por año;455kg;2.4;34.22;-118.89;Menor;Si;Estados Unidos;California;Ventura;No;;;;;;
145;28/4/2021;4.5;22:07;6200 por año;6t;32.8;40.27;-124.38;Ligero;No;Estados Unidos;California;Sacramento;No;;;;;;
146;27/4/2021;3.2;23:36;49000 por año;181kg;6.2;40.26;-124.36;Menor;Si;Estados Unidos;California;Sacramento;No;;;;;;
147;26/4/2021;3.6;19:35;49000 por año;455kg;8.6;37.72;-123.03;Menor;SI;Estados Unidos;California;San Francisco;No;;;;;;
148;25/4/2021;4.7;02:22;6200 por año;6t;10.9;33.83;-118.26;Ligero;No;Estados Unidos;California;Los Angeles;No;;;;;;
149;24/4/2021;3;16:53;49000 por año;181kg;10.2;33.82;-118.26;Menor;Si;Estados Unidos;California;Los Angeles;Si;;;;;;
150;23/4/2021;3.5;02:21;49000 por año;455kg;6.8;33.63;-116.71;Menor;Si;Estados Unidos;California;Riverside;No;;;;;;
151;22/4/2021;4,0;13:11;6200 por año;6t;5.6;32.51;-115.08;Ligero;No;Estados Unidos;California;Ejido Jiquilpan;No;;;;;;
152;21/4/2021;3.1;23:51;49000 por año;455kg;12.3;36.29;-120.59;Menor;Si;Estados Unidos;California;San Benito;No;;;;;;
153;20/4/2021;3,0;03:26;49000 por año;455kg;6.5;34.22;-118.89;Menor;Si;Estados Unidos;California;Ventura;No;;;;;;
154;19/4/2021;4.6;17:13;6200 por año;6t;18.2;40.27;-124.38;Ligero;No;Estados Unidos;California;Sacramento;No;;;;;;
155;18/4/2021;3.7;11:24;49000 por año;181kg;9.8;40.26;-124.36;Menor;Si;Estados Unidos;California;Sacramento;No;;;;;;
156;17/4/2021;3.9;13:07;49000 por año;455kg;12.4;37.72;-123.03;Menor;SI;Estados Unidos;California;San Francisco;No;;;;;;
157;16/4/2021;4,0;01:02;6200 por año;6t;5.4;33.83;-118.26;Ligero;No;Estados Unidos;California;Los Angeles;No;;;;;;
158;15/4/2021;3,0;01:06;49000 por año;181kg;6.3;33.63;-116.71;Menor;Si;Estados Unidos;California;Riverside;No;;;;;;
159;14/4/2021;3.1;12:46;49000 por año;181kg;10.2;37.72;-121.99;Menor;Si;Estados Unidos;California;Alameda;Si;;;;;;
160;13/4/2021;3.6;05:02;49000 por año;455kg;3;38.54;-119.49;Menor;Si;Estados Unidos;California;Mono;No;;;;;;
161;12/4/2021;5.4;19:22;800 por año;199t;14,6;33.82;-118.26;Moderado;No;Estados Unidos;California;Los Angeles;No;;;;;;
162;11/4/2021;3,0;18:26;49000 por año;181kg;13,0;37.71;-122;Menor;Si;Estados Unidos;California;Alameda;No;;;;;;
163;10/4/2021;4,0;09:44;6200 por año;6t;10,3;37.72;-121.99;Ligero;No;Estados Unidos;California;Alameda;No;;;;;;
164;9/4/2021;3.2;15:46;49000 por año;181kg;6,9;33.83;-118.26;Menor;Si;Estados Unidos;California;Los Angeles;No;;;;;;
165;8/4/2021;2.6;16:07;1000 por dia;29kg;8,4;33.82;-118.26;Menor;SI;Estados Unidos;California;Los Angeles;No;;;;;;
166;7/4/2021;3.8;01:06;49000 por año;455kg;16,4;37.71;-123.01;Menor;SI;Estados Unidos;California;San Francisco;Si;;;;;;
167;6/4/2021;3.1;02:54;49000 por año;181kg;8,3;37.71;-123.01;Menor;Si;Estados Unidos;California;San Francisco;No;;;;;;
168;5/4/2021;3.2;15:24;49000 por año;181kg;12,3;37.72;-121.99;Menor;Si;Estados Unidos;California;Alameda;No;;;;;;
169;4/4/2021;4.5;13:55;6200 por año;6t;8,9;38.54;-119.49;Ligero;No;Estados Unidos;California;Mono;No;;;;;;
170;3/4/2021;3.7;03:42;49000 por año;455kg;6,8;33.82;-118.26;Menor;Si;Estados Unidos;California;Los Angeles;No;;;;;;
171;2/4/2021;3,0;13:12;49000 por año;181kg;3,2;33.83;-118.26;Menor;Si;Estados Unidos;California;Los Angeles;No;;;;;;
172;1/4/2021;2.9;20:51;1000 por dia;29kg;5,6;32.51;-115.08;Menor;Si;Estados Unidos;California;Ejido Jiquilpan;No;;;;;;
173;31/3/2021;3,0;13:40;49000 por año;181kg;6,8;36.29;-120.59;Menor;Si;Estados Unidos;California;San Benito;No;;;;;;
174;30/3/2021;3.6;06:16;49000 por año;455kg;5,1;34.22;-118.89;Menor;Si;Estados Unidos;California;Ventura;No;;;;;;
175;29/3/2021;4.5;12:24;6200 por año;6t;18,2;40.27;-124.38;Ligero;No;Estados Unidos;California;Sacramento;No;;;;;;
176;28/3/2021;5,0;03:55;800 poraño;199t;18,0;40.26;-124.36;Moderado;No;Estados Unidos;California;Sacramento;No;;;;;;
177;27/3/2021;3,0;04:03;49000 por año;181kg;16,6;37.72;-123.03;Menor;Si;Estados Unidos;California;San Francisco;No;;;;;;
178;26/3/2021;3.2;17:11;49000 por año;181kg;15,4;34.22;-118.89;Menor;Si;Estados Unidos;California;Ventura;No;;;;;;
179;25/3/2021;3.5;02:43;49000 por año;455kg;15,9;40.27;-124.38;Menor;Si;Estados Unidos;California;Sacramento;No;;;;;;
180;24/3/2021;4,0;14:16;6200 por año;6t;18,5;40.26;-124.36;Ligero;No;Estados Unidos;California;Sacramento;No;;;;;;
181;23/3/2021;3.6;11:52;49000 por año;455kg;8,2;37.72;-123.03;Menor;Si;Estados Unidos;California;San Francisco;No;;;;;;
182;22/3/2021;3.8;00:10;49000 por año;455kg;16,6;33.83;-118.26;Menor;Si;Estados Unidos;California;Los Angeles;No;;;;;;
183;21/3/2021;2,0;02:09;1000 por dia;6kg;18,7;33.82;-118.26;Menor;Si;Estados Unidos;California;Los Angeles;No;;;;;;
184;20/3/2021;3.2;21:49;49000 por año;181kg;7,8;33.63;-116.71;Menor;Si;Estados Unidos;California;Riverside;No;;;;;;
185;19/3/2021;3.1;18:51;49000 por año;181kg;7,8;37.72;-121.99;Menor;Si;Estados Unidos;California;Alameda;No;;;;;;
186;18/3/2021;3.9;18:30;49000 por año;455kg;17,8;33.83;-118.26;Menor;Si;Estados Unidos;California;Los Angeles;No;;;;;;
187;17/3/2021;5,0;02:17;800 por dia;199t;14,3;37.72;-123.03;Moderado;No;Estados Unidos;California;San Francisco;No;;;;;;
188;16/3/2021;4.1;05:04;6200 por año;6t;10,0;37.70;-123.04;Ligero;No;Estados Unidos;California;San Francisco;No;;;;;;
189;15/3/2021;3,0;11:14;49000 por año;181kg;9,4;37.72;-123.03;Menor;Si;Estados Unidos;California;San Francisco;Si;;;;;;
190;14/3/2021;4.6;12:59;6200 por año;6t;19,7;38.54;-119.49;Ligero;No;Estados Unidos;California;Mono;No;;;;;;
191;13/3/2021;3.7;08:50;49000 por año;455kg;17,4;33.82;-118.26;Menor;Si;Estados Unidos;California;Los Angeles;No;;;;;;
192;12/3/2021;3.2;16:25;49000 por año;181kg;19,8;33.83;-118.26;Menor;Si;Estados Unidos;California;Los Angeles;No;;;;;;
193;11/3/2021;3,0;02:33;49000 por año;181kg;19,3;32.51;-115.08;Menor;Si;Estados Unidos;California;Ejido Jiquilpan;No;;;;;;
194;10/3/2021;3.1;15:38;49000 por año;181kg;17,9;36.29;-120.59;Menor;Si;Estados Unidos;California;San Benito;No;;;;;;
195;9/3/2021;2.6;13:40;1000 por dia;29kg;19,4;34.22;-118.89;Menor;Si;Estados Unidos;California;Ventura;No;;;;;;
